Facility ID,State,Clinical Outcomes Score,Person and Community Engagement Score, Safety Score,Efficiency and Cost Reduction Score,TPS
390052,PA,10,39,,50,33
390056,PA,34,19,,30,27.66666667
390057,PA,60,44,35,30,42.25
390058,PA,44,19,8,10,20.25
390062,PA,37.5,62,,0,33.16666667
390063,PA,36,31,38,0,26.25
390065,PA,30,39,52.5,0,30.375
390066,PA,66,34,35,0,33.75
390067,PA,66,29,46,10,37.75
390068,PA,40,31,25,20,29
390070,PA,47.5,9,,10,22.16666667
390071,PA,42.5,35,,100,59.16666667
390072,PA,36,57,,0,31
390073,PA,52,23,50,0,31.25
390076,PA,56,20,0,0,19
390079,PA,40,19,8,40,26.75
390081,PA,54,20,10,10,23.5
390084,PA,16.66666667,55,,0,23.88888889
390086,PA,16,17,54,10,24.25
390090,PA,54,37,20,0,27.75
390091,PA,70,33,66.66666667,40,52.41666667
390093,PA,15,31,,0,15.33333333
390096,PA,58,16,54,0,32
390097,PA,56,19,40,10,31.25
390100,PA,68,45,30,10,38.25
390101,PA,45,24,17.5,0,21.625
390102,PA,64,37,36,20,39.25
390107,PA,70,35,22,10,34.25
390110,PA,54,16,42,0,28
390111,PA,62.5,58,24,0,36.125
390112,PA,42.5,57,,10,36.5
390113,PA,52,43,58,10,40.75
390114,PA,27.5,47,22,10,26.625
390115,PA,54,25,20,0,24.75
390116,PA,56.66666667,16,50,30,38.16666667
390117,PA,16.66666667,59,,60,45.22222222
390119,PA,24,26,20,0,17.5
390123,PA,42,13,33.33333333,0,22.08333333
390125,PA,40,36,0,0,19
390127,PA,40,17,8,0,16.25
390133,PA,50,21,24,10,26.25
390137,PA,30,19,44,10,25.75
390138,PA,35,57,,100,64
390139,PA,48,57,28,20,38.25
390142,PA,44,17,6,20,21.75
390145,PA,72,31,32,20,38.75
390146,PA,17.5,26,,30,24.5
390147,PA,40,65,32,0,34.25
390150,PA,23.33333333,41,,30,31.44444444
390151,PA,46,42,48,60,49
390153,PA,72,45,56,0,43.25
390156,PA,38,29,26,0,23.25
390157,PA,50,24,,20,31.33333333
390160,PA,30,29,5,0,16
390162,PA,66,21,45,0,33
390163,PA,58,13,100,20,47.75
390164,PA,42,40,8,10,25
390168,PA,30,32,30,30,30.5
390173,PA,34,21,28,0,20.75
390174,PA,90,29,32,0,37.75
390178,PA,45,35,10,40,32.5
390179,PA,80,60,20,20,45
390180,PA,30,20,32,10,23
390183,PA,60,42,,60,54
390184,PA,30,17,,30,25.66666667
390185,PA,48,13,85,0,36.5
390194,PA,40,30,40,10,30
390195,PA,72,39,34,10,38.75
390197,PA,43.33333333,17,95,20,43.83333333
390198,PA,30,12,90,0,33
390199,PA,27.5,48,,60,45.16666667
390201,PA,48,22,62,0,33
390203,PA,42,43,20,30,33.75
390204,PA,18,25,28,10,20.25
390211,PA,32,21,80,10,35.75
390217,PA,62.5,53,,20,45.16666667
390219,PA,40,29,8,40,29.25
390220,PA,45,26,,0,23.66666667
390222,PA,52,34,28,20,33.5
390223,PA,70,59,28,0,39.25
390225,PA,58,23,67.5,40,47.125
390226,PA,48,28,22,0,24.5
390228,PA,42,47,26,20,33.75
390231,PA,50,20,38,30,34.5
390233,PA,12,22,48,20,25.5
390237,PA,32,15,34,0,20.25
390256,PA,50,32,18,0,25
390258,PA,52,28,38,0,29.5
390265,PA,36,19,38,0,23.25
390266,PA,25,66,,20,37
390267,PA,54,22,40,10,31.5
390268,PA,70,41,54,20,46.25
390270,PA,86,18,12,40,39
390304,PA,67.5,17,,10,31.5
390326,PA,58,48,15,50,42.75
390328,PA,60,22,28,30,35
390329,PA,40,23,42,10,28.75
390330,PA,57.5,49,35,30,42.875
410004,RI,54,20,42,0,29
410005,RI,38,39,2.5,0,19.875
410006,RI,52,51,53.33333333,0,39.08333333
410007,RI,48,24,28,0,25
410008,RI,62,79,20,40,50.25
410009,RI,50,23,46,0,29.75
410010,RI,,24,42.5,0,22.16666667
410011,RI,45,33,50,20,37
410012,RI,82,46,12,10,37.5
410013,RI,44,48,0,30,30.5
420002,SC,26,15,60,0,25.25
420004,SC,48,36,10,0,23.5
420005,SC,40,47,,80,55.66666667
420007,SC,26,31,8,0,16.25
420009,SC,40,43,60,0,35.75
420010,SC,47.5,33,40,30,37.625
420015,SC,50,34,80,0,41
420018,SC,38,17,22,0,19.25
420020,SC,30,12,5,30,19.25
420023,SC,48,53,38,10,37.25
420026,SC,34,29,8,20,22.75
420027,SC,42,32,12,0,21.5
420030,SC,25,44,30,40,34.75
420033,SC,15,58,75,50,49.5
420036,SC,42.5,17,42.5,30,33
420037,SC,27.5,61,,60,49.5
420038,SC,32.5,22,,0,18.16666667
420043,SC,23.33333333,12,,20,18.44444444
420048,SC,40,27,30,10,26.75
420049,SC,40,19,56,40,38.75
420051,SC,40,38,22,10,27.5
420053,SC,25,78,,10,37.66666667
420055,SC,60,25,,90,58.33333333
420065,SC,30,54,34,0,29.5
420067,SC,40,27,18,10,23.75
420068,SC,56,10,8,0,18.5
420070,SC,32,13,10,0,13.75
420071,SC,32,24,28,0,21
420072,SC,15,44,,70,43
420073,SC,50,41,26,20,34.25
420078,SC,17.5,18,48,0,20.875
420079,SC,12,18,46,0,19
420080,SC,60,16,76,0,38
420082,SC,24,20,40,0,21
420085,SC,44,17,24,40,31.25
420086,SC,52.5,26,28,0,26.625
420087,SC,36,62,6,0,26
420089,SC,25,56,30,0,27.75
420091,SC,52,16,58,10,34
420098,SC,36,29,7.5,0,18.125
420101,SC,16.66666667,52,,0,22.88888889
420102,SC,,88,100,90,92.66666667
420103,SC,57.5,62,,0,39.83333333
420104,SC,37.5,68,,30,45.16666667
420105,SC,42,41,28,60,42.75
420106,SC,30,41,,30,33.66666667
420107,SC,0,49,0,60,27.25
420109,SC,26.66666667,54,,100,60.22222222
430005,SD,58,48,50,20,44
430012,SD,56,37,75,40,52
430013,SD,52.5,27,,30,36.5
430014,SD,46,49,46.66666667,30,42.91666667
430015,SD,35,37,,60,44
430016,SD,62,23,28,10,30.75
430027,SD,46,28,30,0,26
430048,SD,30,55,,0,28.33333333
430077,SD,12,16,12,10,12.5
430095,SD,70,79,,0,49.66666667
430097,SD,27.5,47,,40,38.16666667
440002,TN,22,39,6,0,16.75
440006,TN,44,23,42,0,27.25
440007,TN,36.66666667,75,,0,37.22222222
440009,TN,22,26,63.33333333,30,35.33333333
440011,TN,42,15,38,20,28.75
440012,TN,58,15,20,10,25.75
440015,TN,44,25,32,20,30.25
440017,TN,52,15,22,0,22.25
440018,TN,36,35,75,0,36.5
440020,TN,23.33333333,46,,30,33.11111111
440030,TN,32,14,64,0,27.5
440031,TN,10,25,50,30,28.75
440032,TN,20,70,,10,33.33333333
440033,TN,43.33333333,24,100,0,41.83333333
440034,TN,44,30,32,40,36.5
440035,TN,56,9,30,0,23.75
440039,TN,54,36,14,0,26
440046,TN,48,34,53.33333333,10,36.33333333
440048,TN,68,19,30,0,29.25
440049,TN,34,26,42,0,25.5
440050,TN,0,15,30,10,13.75
440053,TN,26,33,26,0,21.25
440056,TN,30,25,60,40,38.75
440057,TN,0,77,,30,35.66666667
440058,TN,32,29,65,0,31.5
440059,TN,50,23,40,10,30.75
440061,TN,20,17,,0,12.33333333
440063,TN,38,12,8,0,14.5
440065,TN,28,50,55,0,33.25
440068,TN,10,41,80,30,40.25
440072,TN,30,15,40,0,21.25
440073,TN,46,42,38,0,31.5
440081,TN,42.5,21,75,40,44.625
440082,TN,54,33,12,0,24.75
440084,TN,20,45,85,0,37.5
440091,TN,48,35,22,20,31.25
440102,TN,25,51,,30,35.33333333
440104,TN,40,14,24,0,19.5
440110,TN,26.66666667,25,15,10,19.16666667
440111,TN,,25,35,0,20
440120,TN,36,27,48,30,35.25
440125,TN,44,29,32,10,28.75
440130,TN,42.5,49,40,0,32.875
440132,TN,44,33,65,30,43
440133,TN,50,27,32,0,27.25
440137,TN,36.66666667,31,,0,22.55555556
440144,TN,54,14,33.33333333,10,27.83333333
440148,TN,50,69,,0,39.66666667
440150,TN,40,17,60,10,31.75
440151,TN,47.5,28,15,0,22.625
440153,TN,20,30,50,0,25
440156,TN,32,34,52,30,37
440161,TN,52,44,34,0,32.5
440173,TN,34,28,18,30,27.5
440175,TN,26.66666667,33,,30,29.88888889
440176,TN,30,19,23.33333333,0,18.08333333
440183,TN,46,15,76,0,34.25
440184,TN,3.333333333,29,72.5,50,38.70833333
440185,TN,26,14,60,0,25
440187,TN,43.33333333,41,,20,34.77777778
440192,TN,36.66666667,91,,0,42.55555556
440193,TN,34,15,25,0,18.5
440194,TN,62,21,65,10,39.5
440197,TN,42,41,30,20,33.25
440227,TN,26,38,66,20,37.5
440228,TN,32,29,64,0,31.25
450002,TX,42,19,62,10,33.25
450007,TX,40,55,90,10,48.75
450010,TX,48,50,24,0,30.5
450011,TX,64,31,42,0,34.25
450015,TX,52,21,4,60,34.25
450018,TX,50,22,20,0,23
450021,TX,42,30,28,10,27.5
450023,TX,50,18,12,0,20
450024,TX,22.5,24,44,0,22.625
450028,TX,74,18,76,10,44.5
450029,TX,50,17,26,0,23.25
450032,TX,22,36,32,0,22.5
450033,TX,30,26,26,10,23
450034,TX,30,18,28,0,19
450035,TX,40,17,66,0,30.75
450039,TX,60,16,28,0,26
450040,TX,26,18,48,0,23
450042,TX,32,49,44,0,31.25
450044,TX,90,59,8,10,41.75
450046,TX,14,14,26,0,13.5
450051,TX,56,22,6,0,21
450054,TX,64,29,32,30,38.75
450055,TX,23.33333333,76,,0,33.11111111
450056,TX,28,26,16,10,20
450058,TX,34,27,44,0,26.25
450064,TX,44,21,42,10,29.25
450068,TX,32,33,20,10,23.75
450072,TX,54,22,,0,25.33333333
450079,TX,74,24,34,0,33
450080,TX,34,21,50,0,26.25
450082,TX,43.33333333,27,,0,23.44444444
450087,TX,30,26,52,10,29.5
450090,TX,33.33333333,48,,10,30.44444444
450092,TX,67.5,22,60,0,37.375
450097,TX,60,18,30,0,27
450099,TX,50,54,,0,34.66666667
450101,TX,16,39,50,10,28.75
450102,TX,32,27,6,0,16.25
450104,TX,48,67,86.66666667,10,52.91666667
450107,TX,28,22,50,10,27.5
450119,TX,60,17,70,0,36.75
450124,TX,42,32,12,10,24
450128,TX,84,22,18,0,31
450132,TX,20,17,54,0,22.75
450133,TX,26,19,46,0,22.75
450135,TX,34,19,32,0,21.25
450137,TX,40,18,54,0,28
450147,TX,52,23,44,0,29.75
450148,TX,50,30,,0,26.66666667
450152,TX,58,23,28,0,27.25
450154,TX,45,27,,50,40.66666667
450163,TX,45,22,,0,22.33333333
450165,TX,36.66666667,60,100,0,49.16666667
450176,TX,74,29,27.5,20,37.625
450184,TX,54,25,22,0,25.25
450187,TX,43.33333333,57,,20,40.11111111
450193,TX,72,20,26,0,29.5
450194,TX,52.5,33,,0,28.5
450196,TX,44,23,54,0,30.25
450200,TX,12,17,75,0,26
450203,TX,30,38,63.33333333,20,37.83333333
450209,TX,18,20,28,10,19
450211,TX,32,18,30,0,20
450213,TX,52,31,44,0,31.75
450222,TX,44,15,36,10,26.25
450229,TX,62,21,20,0,25.75
450231,TX,44,38,60,0,35.5
450236,TX,26,51,100,0,44.25
450237,TX,44,21,48,0,28.25
450271,TX,22,32,28,0,20.5
450272,TX,50,45,,10,35
450289,TX,25,40,34,20,29.75
450292,TX,42.5,29,,20,30.5
450299,TX,32,16,80,0,32
450324,TX,64,29,34,0,31.75
450330,TX,20,35,80,0,33.75
450340,TX,42,39,,0,27
450346,TX,36,15,12,10,18.25
450347,TX,28,18,33.33333333,0,19.83333333
450351,TX,32.5,59,,40,43.83333333
450352,TX,48,26,38,10,30.5
450358,TX,76,36,20,10,35.5
450372,TX,20,45,68,0,33.25
450379,TX,72.5,10,46.66666667,0,32.29166667
450388,TX,36,26,20,0,20.5
450389,TX,34,47,40,10,32.75
450395,TX,52.5,43,,10,35.16666667
450400,TX,53.33333333,69,,0,40.77777778
450403,TX,32,33,40,10,28.75
450411,TX,23.33333333,22,,30,25.11111111
450419,TX,33.33333333,15,,0,16.11111111
450424,TX,60,31,32,10,33.25
450431,TX,80,51,32,0,40.75
450447,TX,38,30,,30,32.66666667
450462,TX,36,22,14,0,18
450465,TX,27.5,26,,10,21.16666667
450469,TX,40,21,50,0,27.75
450475,TX,30,73,,0,34.33333333
450508,TX,56,23,80,0,39.75
450537,TX,22,28,12,0,15.5
450539,TX,67.5,37,,0,34.83333333
450558,TX,38,25,47.5,0,27.625
450563,TX,42,27,16,0,21.25
450565,TX,22.5,42,,0,21.5
450571,TX,44,46,36,0,31.5
450584,TX,16.66666667,81,,0,32.55555556
450587,TX,28,32,,0,20
450596,TX,56,21,56.66666667,0,33.41666667
450597,TX,26.66666667,67,,0,31.22222222
450604,TX,27.5,87,13.33333333,20,36.95833333
450610,TX,50,50,40,0,35
450617,TX,50,20,30,0,25
450634,TX,32,40,68,10,37.5
450638,TX,48,22,44,0,28.5
450639,TX,44,20,32,0,24
450643,TX,84,26,44,20,43.5
450644,TX,56,16,50,10,33
450647,TX,44,33,40,0,29.25
450651,TX,22,21,56,0,24.75
450653,TX,22.5,20,100,10,38.125
450656,TX,40,37,22.5,40,34.875
450659,TX,72.5,36,38,30,44.125
450661,TX,50,13,65,20,37
450662,TX,70,14,60,30,43.5
450668,TX,20,27,50,0,24.25
450669,TX,38,36,52,10,34
450670,TX,38,15,32,20,26.25
450672,TX,24,39,68,0,32.75
450674,TX,,22,65,0,29
450675,TX,40,18,52,10,30
450677,TX,64,40,44,10,39.5
450678,TX,48,10,93.33333333,0,37.83333333
450684,TX,57.5,20,24,10,27.875
450686,TX,52,41,22,0,28.75
450688,TX,50,24,100,0,43.5
450690,TX,20,60,,40,40
450697,TX,55,12,20,0,21.75
450702,TX,32,14,46,0,23
450709,TX,58,19,28,0,26.25
450711,TX,76,23,30,30,39.75
450713,TX,38,35,26,0,24.75
450718,TX,66,39,24,0,32.25
450723,TX,50,32,12.5,0,23.625
450730,TX,44,20,83.33333333,20,41.83333333
450742,TX,60,29,32,0,30.25
450743,TX,50,24,58,0,33
450747,TX,38,41,100,0,44.75
450771,TX,30,23,52,0,26.25
450775,TX,58,20,36,0,28.5
450779,TX,34,40,66,10,37.5
450788,TX,58,20,44,0,30.5
450801,TX,26,46,40,20,33
450809,TX,34,31,18,0,20.75
450820,TX,84,40,44,20,47
450822,TX,30,22,66.66666667,10,32.16666667
450828,TX,40,56,,0,32
450840,TX,26,49,,10,28.33333333
450844,TX,88,30,38,0,39
450847,TX,28,39,44,0,27.75
450848,TX,64,30,46,20,40
450851,TX,80,72,,30,60.66666667
450853,TX,,53,60,30,47.66666667
450855,TX,54,36,86.66666667,0,44.16666667
450862,TX,76,17,74,10,44.25
450867,TX,45,33,35,10,30.75
450869,TX,52,17,54,0,30.75
450885,TX,58,36,0,0,23.5
450890,TX,48,31,12,0,22.75
450893,TX,55,89,,60,68
460001,UT,26,39,26,10,25.25
460003,UT,47.5,27,26.66666667,0,25.29166667
460004,UT,46,33,42,10,32.75
460005,UT,32,15,28,0,18.75
460006,UT,50,53,42,40,46.25
460007,UT,32.5,63,,70,55.16666667
460009,UT,64,47,22,0,33.25
460010,UT,28,27,42,0,24.25
460011,UT,32.5,42,,0,24.83333333
460013,UT,30,43,,10,27.66666667
460014,UT,40,31,,0,23.66666667
460015,UT,44,44,20,50,39.5
460017,UT,53.33333333,32,,0,28.44444444
460019,UT,37.5,17,,100,51.5
460021,UT,40,53,38,20,37.75
460023,UT,36.66666667,31,70,30,41.91666667
460026,UT,45,63,,0,36
460030,UT,40,34,,100,58
460041,UT,50,16,22.5,30,29.625
460042,UT,36,38,,20,31.33333333
460044,UT,62.5,35,,10,35.83333333
460047,UT,58,16,30,0,26
460051,UT,24,14,60,0,24.5
460052,UT,42.5,33,55,10,35.125
460057,UT,50,81,,30,53.66666667
460058,UT,73.33333333,48,55,0,44.08333333
460060,UT,70,49,,60,59.66666667
470001,VT,60,49,45,70,56
470003,VT,64,34,28,10,34
470005,VT,46,42,54,20,40.5
470011,VT,40,23,,30,31
470012,VT,28,55,53.33333333,40,44.08333333
470024,VT,50,31,,20,33.66666667
490001,VA,40,47,50,70,51.75
490004,VA,88,27,64,60,59.75
490005,VA,46,21,30,20,29.25
490007,VA,52.5,25,32,20,32.375
490009,VA,62,36,20,0,29.5
490011,VA,22,12,90,0,31
490013,VA,50,30,50,30,40
490017,VA,42,30,54,30,39
490018,VA,42,27,24,50,35.75
490019,VA,42,28,,10,26.66666667
490020,VA,30,27,27.5,20,26.125
490021,VA,58,14,10,10,23
490022,VA,50,17,12,20,24.75
490023,VA,30,18,85,0,33.25
490024,VA,54,14,14,0,20.5
490032,VA,54,36,46,10,36.5
490033,VA,13.33333333,22,,40,25.11111111
490037,VA,30,54,,60,48
490038,VA,50,84,,40,58
490040,VA,70,15,44,0,32.25
490041,VA,42,38,76,20,44
490042,VA,48,19,40,30,34.25
490043,VA,62,24,74,0,40
490044,VA,60,37,20,50,41.75
490045,VA,68,24,47.5,10,37.375
490046,VA,52,45,38,60,48.75
490048,VA,38,18,20,0,19
490050,VA,46,50,26,30,38
490052,VA,28,35,34,0,24.25
490053,VA,24,20,62,0,26.5
490057,VA,40,27,58,30,38.75
490059,VA,52,23,64,0,34.75
490060,VA,17.5,36,30,40,30.875
490063,VA,56,34,34,0,31
490066,VA,62,35,32,50,44.75
490067,VA,48,14,62,0,31
490069,VA,42,25,28,0,23.75
490075,VA,64,9,36,0,27.25
490077,VA,48,34,44,50,44
490084,VA,42,63,,40,48.33333333
490088,VA,16.66666667,14,,60,30.22222222
490089,VA,3.333333333,32,,80,38.44444444
490090,VA,62,15,80,20,44.25
490092,VA,27.5,14,,90,43.83333333
490093,VA,46,32,56,40,43.5
490098,VA,37.5,26,45,50,39.625
490101,VA,70,43,42,30,46.25
490107,VA,46,26,74,10,39
490110,VA,52,35,37.5,40,41.125
490111,VA,42,19,60,10,32.75
490112,VA,32,17,40,0,22.25
490113,VA,60,16,32,30,34.5
490114,VA,0,36,35,80,37.75
490115,VA,22.5,11,60,0,23.375
490116,VA,22,38,,0,20
490118,VA,62,27,44,0,33.25
490119,VA,58,36,30,50,43.5
490120,VA,62,15,50,40,41.75
490122,VA,70,53,52.5,20,48.875
490126,VA,50,44,,0,31.33333333
490127,VA,33.33333333,64,,10,35.77777778
490130,VA,24,44,,60,42.66666667
490136,VA,36,27,56,0,29.75
490140,VA,50,24,3.333333333,50,31.83333333
490141,VA,34,21,57.5,10,30.625
490143,VA,34,36,,40,36.66666667
490144,VA,3.333333333,25,50,0,19.58333333
490145,VA,43.33333333,26,,70,46.44444444
500002,WA,46,32,62.5,50,47.625
500003,WA,26,21,12,60,29.75
500005,WA,74,57,66,30,56.75
500007,WA,36,51,,60,49
500008,WA,52,63,14,10,34.75
500011,WA,22,16,46,60,36
500014,WA,28,25,50,40,35.75
500015,WA,32,9,64,10,28.75
500016,WA,46,42,30,50,42
500019,WA,26,26,80,60,48
500021,WA,42,14,62.5,80,49.625
500024,WA,26,17,28,70,35.25
500025,WA,35,21,50,10,29
500026,WA,46,10,58,30,36
500027,WA,74,15,42,40,42.75
500030,WA,38,24,36,40,34.5
500031,WA,38,14,56.66666667,0,27.16666667
500033,WA,58,17,,100,58.33333333
500036,WA,22,15,32,60,32.25
500037,WA,30,25,,70,41.66666667
500039,WA,24,14,42,30,27.5
500041,WA,20,22,8,50,25
500044,WA,20,17,56,0,23.25
500050,WA,38,23,44,50,38.75
500051,WA,32,23,44,40,34.75
500053,WA,38,15,20,20,23.25
500054,WA,50,21,62,0,33.25
500058,WA,50,28,18,40,34
500060,WA,35,38,50,0,30.75
500064,WA,50,18,12,0,20
500072,WA,36,38,47.5,70,47.875
500077,WA,20,17,40,10,21.75
500079,WA,20,20,46,50,34
500084,WA,27.5,16,,0,14.5
500088,WA,32,25,16,60,33.25
500108,WA,60,19,48,10,34.25
500119,WA,26,28,57.5,30,35.375
500124,WA,36,33,16,40,31.25
500129,WA,44,22,26,40,33
500141,WA,44,13,32,40,32.25
500150,WA,46,58,52,100,64
500151,WA,44,27,88,50,52.25
500152,WA,50,27,40,30,36.75
510001,WV,38,16,30,0,21
510002,WV,54,23,60,0,34.25
510006,WV,62,20,60,30,43
510007,WV,60,20,16,0,24
510008,WV,30,13,30,50,30.75
510012,WV,46,28,,60,44.66666667
510013,WV,28,25,,10,21
510022,WV,38,17,4,0,14.75
510023,WV,64,21,40,0,31.25
510024,WV,56,40,36,0,33
510029,WV,54,18,12,20,26
510030,WV,50,23,35,80,47
510038,WV,54,54,,80,62.66666667
510046,WV,32,31,60,0,30.75
510047,WV,42.5,23,,10,25.16666667
510048,WV,85,20,35,40,45
510050,WV,6,17,32,0,13.75
510055,WV,50,39,30,0,29.75
510058,WV,40,24,18,10,23
510062,WV,24,18,75,0,29.25
510070,WV,20,9,60,0,22.25
510071,WV,46,27,20,0,23.25
520002,WI,54,37,50,90,57.75
520004,WI,46,57,48,50,50.25
520008,WI,46,33,54,0,33.25
520009,WI,22,55,16,50,35.75
520011,WI,45,59,85,40,57.25
520013,WI,38,32,58,0,32
520017,WI,30,76,,60,55.33333333
520019,WI,44,28,,90,54
520021,WI,14,25,38,0,19.25
520027,WI,58,19,54,40,42.75
520028,WI,52,81,65,60,64.5
520030,WI,32,28,40,50,37.5
520033,WI,30,60,20,80,47.5
520034,WI,50,53,,70,57.66666667
520035,WI,46,55,63.33333333,50,53.58333333
520037,WI,44,27,8,0,19.75
520038,WI,27.5,77,,50,51.5
520041,WI,32.5,32,,70,44.83333333
520044,WI,27.5,22,,60,36.5
520045,WI,44,20,46,30,35
520049,WI,48,54,68,20,47.5
520051,WI,47.5,15,42,20,31.125
520057,WI,20,75,,90,61.66666667
520059,WI,36,23,0,40,24.75
520062,WI,54,34,,30,39.33333333
520063,WI,35,38,100,10,45.75
520066,WI,32,47,66,20,41.25
520070,WI,64,37,34,20,38.75
520071,WI,42.5,57,,60,53.16666667
520075,WI,44,38,36,10,32
520076,WI,25,48,,50,41
520078,WI,22.5,28,20,30,25.125
520083,WI,58,41,20,30,37.25
520087,WI,32,72,24,10,34.5
520088,WI,18,40,40,40,34.5
520089,WI,74,39,38,40,47.75
520091,WI,50,43,,70,54.33333333
520095,WI,32.5,100,,70,67.5
520096,WI,12,21,48,10,22.75
520097,WI,38,26,16.66666667,40,30.16666667
520098,WI,56,48,34,30,42
520100,WI,24,20,77.5,10,32.875
520102,WI,58,59,15,10,35.5
520103,WI,72,39,40,30,45.25
520107,WI,32,21,,20,24.33333333
520109,WI,30,50,,40,40
520113,WI,50,64,70,60,61
520116,WI,32.5,49,,50,43.83333333
520136,WI,28,31,8,40,26.75
520138,WI,52,38,28,0,29.5
520139,WI,34,31,22,10,24.25
520160,WI,30,23,24,30,26.75
520177,WI,62.5,40,44,20,41.625
520189,WI,46,58,30,10,36
520193,WI,36,67,38,30,42.75
520198,WI,30,69,42.5,20,40.375
520202,WI,58,27,62.5,30,44.375
520206,WI,30,52,37.5,30,37.375
520207,WI,36,76,40,40,48
520208,WI,57.5,51,,10,39.5
520210,WI,,38,50,30,39.33333333
530002,WY,50,40,,50,46.66666667
530006,WY,52,38,,70,53.33333333
530008,WY,10,15,,60,28.33333333
530011,WY,43.33333333,26,,40,36.44444444
530012,WY,32,25,74,0,32.75
530014,WY,44,27,14,0,21.25
530015,WY,47.5,82,,90,73.16666667
530025,WY,15,58,,70,47.66666667
530032,WY,17.5,41,,50,36.16666667
670004,TX,27.5,61,,0,29.5
670023,TX,34,47,30,0,27.75
670025,TX,63.33333333,77,35,10,46.33333333
670031,TX,50,18,53.33333333,20,35.33333333
670034,TX,30,43,24,0,24.25
670041,TX,38,22,20,10,22.5
670043,TX,26,27,57.5,0,27.625
670044,TX,65,28,50,20,40.75
670047,TX,64,18,52,30,41
670053,TX,42,33,56.66666667,0,32.91666667
670055,TX,44,28,24,0,24
670056,TX,40,29,68,0,34.25
670060,TX,32,17,67.5,30,36.625
670068,TX,42.5,43,40,20,36.375
670071,TX,80,58,100,40,69.5
670075,TX,50,21,40,0,27.75
670077,TX,66,30,26,0,30.5
670078,TX,60,74,,100,78
670080,TX,58,35,70,40,50.75
670082,TX,62,19,56,0,34.25
670085,TX,72,36,72.5,20,50.125
670088,TX,52,39,22,20,33.25
670098,TX,28,40,35,20,30.75
670103,TX,35,55,50,20,40
670106,TX,13.33333333,41,,0,18.11111111
670108,TX,55,61,,20,45.33333333
670120,TX,40,20,93.33333333,10,40.83333333
670122,TX,64,28,72,0,41
